,date,negatives,positives,ratio,negatives (t-1),positives (t-1),ratio (t-1),negatives (t-2),positives (t-2),ratio (t-2),label
231,2018-06-01,11,6,0.35294117647058826,8.0,3.0,0.2727272727272727,10.0,5.0,0.3333333333333333,1
232,2018-05-31,9,9,0.5,11.0,6.0,0.35294117647058826,8.0,3.0,0.2727272727272727,1
233,2018-05-30,12,5,0.29411764705882354,9.0,9.0,0.5,11.0,6.0,0.35294117647058826,0
234,2018-05-29,25,13,0.34210526315789475,12.0,5.0,0.29411764705882354,9.0,9.0,0.5,1
235,2018-05-25,15,6,0.2857142857142857,25.0,13.0,0.34210526315789475,12.0,5.0,0.29411764705882354,0
236,2018-05-24,17,6,0.2608695652173913,15.0,6.0,0.2857142857142857,25.0,13.0,0.34210526315789475,0
237,2018-05-23,9,13,0.5909090909090909,17.0,6.0,0.2608695652173913,15.0,6.0,0.2857142857142857,0
238,2018-05-22,17,7,0.2916666666666667,9.0,13.0,0.5909090909090909,17.0,6.0,0.2608695652173913,1
239,2018-05-21,15,11,0.4230769230769231,17.0,7.0,0.2916666666666667,9.0,13.0,0.5909090909090909,0
240,2018-05-18,5,2,0.2857142857142857,15.0,11.0,0.4230769230769231,17.0,7.0,0.2916666666666667,1
241,2018-05-17,10,4,0.2857142857142857,5.0,2.0,0.2857142857142857,15.0,11.0,0.4230769230769231,1
242,2018-05-16,9,6,0.4,10.0,4.0,0.2857142857142857,5.0,2.0,0.2857142857142857,0
243,2018-05-14,9,1,0.1,9.0,6.0,0.4,10.0,4.0,0.2857142857142857,0
244,2018-05-11,9,5,0.35714285714285715,9.0,1.0,0.1,9.0,6.0,0.4,1
245,2018-05-10,24,8,0.25,9.0,5.0,0.35714285714285715,9.0,1.0,0.1,1
246,2018-05-09,15,12,0.4444444444444444,24.0,8.0,0.25,9.0,5.0,0.35714285714285715,1
247,2018-05-08,30,6,0.16666666666666666,15.0,12.0,0.4444444444444444,24.0,8.0,0.25,1
248,2018-05-07,17,2,0.10526315789473684,30.0,6.0,0.16666666666666666,15.0,12.0,0.4444444444444444,1
249,2018-05-04,9,4,0.3076923076923077,17.0,2.0,0.10526315789473684,30.0,6.0,0.16666666666666666,1
