,comment,date,+/-
231,"I think ""good news"" will be short lived tomorrow and Tesla will keep going lower towards $210-215
","Apr 28, 2019 11:37AM ET",
232,"Tesla offering insurance to leverage its data is genius. Never thought of that. It is also very fair method. If you are a safe driver low premiums if you are more excitable driver, higher.. Perfect insurance model.
","Apr 28, 2019 10:19AM ET",
233,"let's see what happens tomorrow...all good news :)
","Apr 28, 2019 8:47AM ET",
234,"this year willing to buy it near 206 to 200. tgt 460
","Apr 28, 2019 5:05AM ET",
235,"heading to 280....but still a sell from there
","Apr 28, 2019 5:00AM ET",
236,"Please stop using 'competition is coming'. No. There is no competition even for 2013 Model S. And it wont be for next 2 years minimum. You are bashing Tesla for producing only 62k cars in Q1 but others produce barely thousands! Few good cars Kona, Niro but...Show more
","Apr 28, 2019 3:50AM ET",
237,"As CEO said days from bankrot but I'm bullish it's the control structure all time favorite.
","Apr 28, 2019 3:47AM ET",
238,"If you compare Uber vs TSLA, you will see what is wrong with wall street. Uber reaches 100 billion$ with speculation, TESLA has the ultimate vertical integration for future transport and keeps breaking production records..&gt;downgrade. LOL :) Future will com...Show more
","Apr 27, 2019 9:35PM ET",
239,"100 shares of f or 5 shares tsla
","Apr 27, 2019 5:40PM ET",
240,"great chance for institutions to dump their shares to fanboys
","Apr 27, 2019 11:18AM ET",
241,"Monday tesla 240
","Apr 27, 2019 10:20AM ET",
